zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent,year
91103,27480,5210,5516,41,1900,14190,70,537,0.1895924308588064,2010
91104,36751,15234,3708,47,2618,13836,132,1103,0.4145193328072705,2010
91105,11254,7383,503,18,1414,1595,21,316,0.6560334103429891,2010
91106,24229,10280,1530,36,5204,6318,82,757,0.4242849477898386,2010
91107,32940,15389,1659,59,6333,8320,101,1058,0.4671827565270188,2010
91108,13361,5003,54,1,7065,874,25,337,0.3744480203577576,2010
91201,22781,15652,271,11,2010,3877,58,893,0.687063781221193,2010
91202,22830,15731,303,15,3579,2342,48,802,0.6890494962768288,2010
91203,13220,7826,175,29,2276,2312,19,578,0.591981845688351,2010
91204,16032,7013,282,33,2939,5362,34,352,0.437437624750499,2010
91205,37810,20989,470,20,5543,9599,69,1109,0.555117693731817,2010
91206,33065,20743,498,35,5701,4822,58,1177,0.6273400877060336,2010
91207,10506,7775,80,9,1212,1081,25,322,0.7400533028745478,2010
91208,16245,11212,110,12,2593,1774,21,520,0.690181594336719,2010
91210,328,174,8,0,113,30,2,1,0.5304878048780488,2010
91214,30356,17707,176,44,8190,3320,44,861,0.5833113717222296,2010
91301,25488,20204,318,34,1817,2325,54,712,0.7926867545511613,2010
91302,25709,20681,418,43,2025,1621,78,836,0.8044264654401182,2010
91303,26855,5958,1033,44,2766,16416,85,511,0.2218581269782163,2010
91304,50231,19471,2384,87,6655,20160,115,1299,0.3876291533116999,2010
91306,45061,12527,1924,66,7951,21370,135,1049,0.2780009320698609,2010
91307,24474,16413,678,31,3131,3323,45,838,0.6706300563863692,2010
91311,36557,19873,1475,95,5959,7934,91,1078,0.543616817572558,2010
91316,26898,19625,929,33,1609,3348,49,1277,0.729608149304781,2010
91320,44274,30185,507,80,4610,7479,98,1276,0.6817771152369336,2010
91321,34882,15052,907,102,2053,15934,86,697,0.4315119545897597,2010
91324,27669,10655,1252,49,4818,10010,86,757,0.3850880046261158,2010
91325,32417,13667,1732,51,5409,10429,120,936,0.4215997778943147,2010
91326,33708,16979,1087,37,9926,4504,101,1048,0.5037083185000594,2010
91330,2702,710,671,10,320,867,4,118,0.2627683197631384,2010
91331,103689,4358,2991,164,4383,91023,183,510,0.0420295306155908,2010
91335,74363,22785,2685,139,9035,37606,230,1819,0.306402377526458,2010
91340,34188,1579,544,85,327,31452,27,154,0.0461857961857961,2010
91342,91725,12864,4113,269,4879,68444,173,934,0.1402452984464431,2010
91343,60254,12730,2406,71,8417,35438,187,916,0.2112722806784611,2010
91344,51747,24629,1676,78,8914,14841,162,1407,0.4759502966355537,2010
91345,18496,3471,611,48,1716,12329,54,239,0.1876621972318339,2010
91350,33348,20731,864,94,3021,7636,96,866,0.6216564711526928,2010
91351,32362,14691,1178,83,2212,13162,109,880,0.4539583462085161,2010
91352,47807,8132,718,85,2947,35314,91,451,0.1701006128809588,2010
91354,28722,17722,886,47,4543,4491,43,953,0.6170183134879187,2010
91355,32605,21538,861,67,3414,5712,96,886,0.6605735316669222,2010
91356,29458,20852,1212,50,1889,4089,73,1249,0.707855251544572,2010
91360,42402,29371,479,99,2683,8603,91,1016,0.6926795905853498,2010
91361,20438,16652,205,29,1317,1644,45,525,0.8147568255210882,2010
91362,36045,25961,472,46,3206,5376,68,888,0.7202385906505757,2010
91364,25851,19467,981,38,1617,2522,74,1137,0.7530463038180342,2010
91367,39499,26753,1757,88,4839,4375,101,1534,0.6773082862857287,2010
91371,1,1,0,0,0,0,0,0,1.0,2010
91377,13811,10903,138,15,1553,826,17,351,0.789443197451307,2010
91381,20158,10842,652,57,4753,3091,61,676,0.537850977279492,2010
91384,29855,13318,2745,54,2232,10654,88,733,0.4460894322559035,2010
91387,40328,18796,2475,106,4158,13488,101,1144,0.4660781590954175,2010
91390,19786,13402,549,62,1310,3783,40,621,0.6773476195289598,2010
91401,39285,17883,1635,69,2067,16675,123,808,0.4552119129438717,2010
91402,69817,6792,1830,94,9772,50328,183,758,0.0972828967156996,2010
91403,23484,17196,1119,21,1717,2537,75,798,0.7322432294328053,2010
91405,51145,12574,2414,69,4022,30942,218,847,0.2458500342164434,2010
91406,51558,15135,2531,112,3890,28646,209,976,0.2935528918887466,2010
91411,24628,8457,1261,66,1545,12699,95,490,0.343389637810622,2010
91423,30991,22654,1494,45,1968,3714,103,984,0.7309864154109258,2010
91436,14372,12025,275,9,733,850,29,442,0.8366963540217088,2010
91501,20849,14255,443,20,2493,2834,50,740,0.6837258381696963,2010
91502,11371,5486,396,31,1227,3793,23,399,0.4824553689209392,2010
91504,24939,13906,500,28,3278,6423,64,716,0.5576005453306067,2010
91505,30778,17778,811,76,3187,8077,75,760,0.5776203781922152,2010
91506,18904,10863,388,43,1938,5075,44,542,0.5746402877697842,2010
91601,37180,14511,2707,89,2412,16291,149,984,0.3902904787520172,2010
91602,17473,11947,1051,47,1179,2591,57,592,0.6837406283980999,2010
91604,29034,22455,1148,52,1921,2471,76,888,0.773403595784253,2010
91605,56343,12452,1691,97,5426,35668,206,777,0.221003496441439,2010
91606,44958,14428,1483,73,2270,25693,167,775,0.3209217491881311,2010
91607,27927,18523,1390,60,1554,5463,111,805,0.6632649407383535,2010
91608,0,0,0,0,0,0,0,0,,2010
91701,38976,20907,2113,98,2818,11908,57,991,0.5364070197044335,2010
91702,59705,10349,1459,146,4426,42430,77,743,0.173335566535466,2010
91706,76571,3313,668,92,10529,61452,97,353,0.0432670332110067,2010
91708,3369,1015,530,55,483,1119,8,136,0.3012763431285248,2010
91709,74796,25015,3225,143,22351,21801,180,1982,0.3344430183432269,2010
91710,80358,22454,4082,221,7825,44236,207,1230,0.2794245750267553,2010
91711,35705,21028,1594,80,4584,7087,71,1226,0.5889371236521496,2010
91722,34409,7554,1131,106,3679,21329,57,505,0.2195355866197797,2010
91723,18275,5503,708,51,1786,9831,34,330,0.3011217510259918,2010
91724,26184,9547,847,67,3201,11873,78,531,0.3646119767797128,2010
91730,66925,23622,7194,183,6217,27584,209,1751,0.3529622711991034,2010
91731,29591,1745,177,51,7447,19991,23,127,0.0589706329627251,2010
91732,61386,3116,292,64,15158,42354,47,314,0.0507607597823608,2010
91733,43896,1408,65,42,7871,34270,86,134,0.0320758155640605,2010
91737,24740,12847,1859,45,2208,6882,43,819,0.5192805173807599,2010
91739,34794,13269,3324,83,5523,11367,99,1032,0.3813588549749956,2010
91740,25356,11950,613,59,2137,9890,56,621,0.4712888468212652,2010
91741,25824,17327,234,45,1842,5714,56,593,0.6709649938042132,2010
91744,85040,4429,1052,137,7041,71739,107,450,0.0520813734713076,2010
91745,54013,8029,644,68,19875,24593,70,671,0.1486493992187066,2010
91746,30485,1515,387,49,2207,26131,43,118,0.0496965720846317,2010
91748,45406,4404,599,41,27006,12579,24,697,0.0969915870149319,2010
91750,33249,18377,1158,118,2433,10287,59,761,0.5527083521308912,2010
91752,30047,8385,1670,87,2036,17188,47,564,0.2790628016108097,2010
91754,32742,1659,118,39,20418,10030,32,438,0.0506688656771119,2010
91755,27496,1337,76,12,19537,6178,19,326,0.0486252545824847,2010
91759,476,406,1,7,12,46,1,3,0.8529411764705882,2010
91761,56913,10913,3805,118,3519,37471,137,799,0.1917488095865619,2010
91762,55857,10770,2416,123,2443,39133,161,663,0.1928137923626403,2010
91763,36375,5260,1696,88,3289,25484,63,435,0.1446048109965635,2010
91764,54086,8630,3439,130,2295,38689,111,641,0.1595606996265207,2010
91765,46457,10180,1979,61,23858,9133,71,1105,0.2191273650902985,2010
91766,71599,6639,3453,140,7231,53115,133,777,0.0927247587256805,2010
91767,48068,7630,4334,127,3209,31810,98,791,0.1587334609303486,2010
91768,34537,5034,2362,55,2066,24381,51,522,0.1457567246720908,2010
91770,62097,3024,250,73,36400,21838,29,468,0.0486980047345282,2010
91773,33119,17240,1011,76,3377,10463,58,858,0.5205471179685377,2010
91775,23988,6154,300,24,11181,5785,37,495,0.2565449391362348,2010
91776,38475,2558,326,60,24323,10723,40,425,0.0664847303443794,2010
91780,34332,7703,257,33,18546,7194,34,538,0.2243679366188978,2010
91784,25938,15625,943,54,2973,5693,54,565,0.6023980260621482,2010
91786,51165,19274,4146,136,3362,22954,108,1068,0.3767028241962279,2010
91789,43079,6394,1157,39,25819,8646,72,894,0.1484249866524292,2010
91790,44907,7052,1454,101,8107,27376,87,670,0.1570356514574565,2010
91791,32414,6742,1287,70,7171,16507,46,548,0.2079965447029061,2010
91792,30854,2577,1632,63,12374,13529,59,581,0.0835223957995721,2010
91801,52735,5714,792,59,28571,16664,64,846,0.1083530861856452,2010
91803,30322,2627,286,57,15012,11922,36,353,0.086636765384869,2010
91901,17403,13350,200,444,335,2644,8,376,0.7671091191173935,2010
91902,17653,7162,567,58,1904,7326,26,506,0.4057100776072055,2010
91905,1700,1072,51,104,19,389,11,46,0.6305882352941177,2010
91906,3627,2141,112,175,28,1059,2,104,0.5902950096498484,2010
91910,75802,18061,2945,241,7111,45275,147,1747,0.2382654811218701,2010
91911,82999,13064,2738,211,6009,58816,94,1613,0.1573994867408041,2010
91913,40971,8158,2202,65,10630,18109,64,1510,0.1991164482194723,2010
91914,15448,3557,654,27,3414,7140,20,591,0.2302563438632832,2010
91915,24659,5320,1362,56,5808,11016,31,985,0.2157427308487773,2010
91916,1622,1348,10,27,29,176,6,18,0.8310727496917386,2010
91917,992,393,12,7,10,553,5,12,0.3961693548387097,2010
91931,592,451,0,5,3,125,0,8,0.7618243243243243,2010
91932,25718,9399,909,132,1597,12570,53,912,0.3654638774399253,2010
91934,737,468,4,22,6,222,0,15,0.6350067842605156,2010
91935,8624,6263,114,27,114,1859,24,210,0.7262291280148423,2010
91941,31779,20350,2172,145,1497,6252,58,1144,0.6403599861543787,2010
91942,38069,24623,2394,144,2030,7230,121,1377,0.6467992329717093,2010
91945,25460,8821,3312,109,1551,10481,38,902,0.3464650432050274,2010
91948,78,76,0,0,1,1,0,0,0.9743589743589745,2010
91950,60322,7074,2631,173,10440,38388,49,1136,0.1172706475249494,2010
91962,1646,1399,6,7,15,175,4,39,0.8499392466585662,2010
91963,1118,369,2,6,3,706,0,21,0.3300536672629696,2010
91977,58368,19524,6950,185,4449,24228,104,2370,0.3344983552631579,2010
91978,8896,4777,755,41,430,2472,28,351,0.5369829136690647,2010
91980,165,31,0,1,0,132,0,1,0.1878787878787878,2010
92003,4746,3201,68,19,176,1131,14,132,0.6744627054361567,2010
92004,3881,2339,15,33,19,1442,1,31,0.6026797217212059,2010
92007,10429,8454,41,43,320,1252,32,271,0.8106242209224278,2010
92008,27649,20193,286,102,1078,5186,52,696,0.7303338276248689,2010
92009,40747,31351,474,73,3149,4250,84,1309,0.7694063366628218,2010
92010,14382,10351,224,49,1218,1979,35,487,0.7197190933110833,2010
92011,22405,16868,247,47,1887,2554,64,708,0.7528676634679758,2010
92014,13154,11271,72,10,774,663,46,311,0.8568496274897369,2010
92019,42598,30063,1423,274,1355,7752,69,1577,0.7057373585614348,2010
92020,57767,33719,3358,264,1941,15486,139,2573,0.5837069607215192,2010
92021,65068,39657,3353,332,1807,16885,138,2633,0.6094700928259666,2010
92024,49121,38452,275,116,1971,6893,152,1197,0.7828016530608091,2010
92025,49978,18148,990,205,1980,27659,78,824,0.363119772699988,2010
92026,48922,25711,1056,206,3525,17171,70,1095,0.5255508769060954,2010
92027,53881,21359,1052,199,3140,26935,73,988,0.3964106085633154,2010
92028,46239,26378,570,160,1095,16975,66,892,0.5704708146802483,2010
92029,19021,12884,280,58,1380,3887,31,478,0.6773566058566847,2010
92036,3440,2835,36,41,20,456,4,45,0.8241279069767442,2010
92037,46781,32708,520,45,7472,4326,155,1514,0.6991727410700925,2010
92040,41281,30874,544,781,651,7145,28,1144,0.7478985489692594,2010
92054,40375,20914,1365,184,1358,14897,79,1223,0.5179938080495357,2010
92055,15655,10858,914,150,448,2857,32,270,0.6935803257745129,2010
92056,51835,29018,1706,179,3215,15476,114,1610,0.5598147969518665,2010
92057,54096,23787,2865,130,4503,19909,88,2035,0.4397182786157941,2010
92058,42436,19427,2962,373,2125,15082,105,1858,0.4577952681685361,2010
92059,1618,303,11,558,9,683,1,49,0.1872682323856613,2010
92060,218,197,0,4,0,7,0,8,0.9036697247706422,2010
92061,2499,978,13,510,31,914,8,43,0.3913565426170468,2010
92064,47904,33106,722,150,4763,7516,78,1468,0.6910905143620575,2010
92065,35414,25401,229,237,495,8203,43,719,0.7172587112441408,2010
92066,378,292,10,2,7,54,0,13,0.7724867724867724,2010
92067,9535,8170,60,9,439,636,22,192,0.8568432092291557,2010
92069,46369,18871,943,167,3860,21115,110,1111,0.4069744872651987,2010
92070,1245,670,6,382,11,154,0,22,0.5381526104417671,2010
92071,53422,39315,971,290,1976,8700,81,1857,0.7359327617835348,2010
92075,12056,9263,49,28,447,1995,23,232,0.7683311214333112,2010
