"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"30411","905","26055","989","21789","996","549","190","0","26","2698","554","196","126","33","39","790","205","101","98","689","166","4356","787","1683","551","6","10","13","22","39","49","18","38","2460","773","137","97","117","92","20","24","8600000US94903","ZCTA5 94903"
"12087","490","11232","504","10290","516","164","112","33","52","423","143","25","30","0","19","297","119","21","26","276","115","855","290","561","238","0","19","23","31","0","19","0","19","228","130","43","58","0","19","43","58","8600000US94904","ZCTA5 94904"
"12528","391","11732","431","10919","545","16","24","28","34","478","161","0","19","33","50","258","133","58","81","200","109","796","241","660","211","17","26","0","19","0","19","0","19","112","98","7","10","0","19","7","10","8600000US94920","ZCTA5 94920"
"323","200","194","105","194","105","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","129","161","0","12","0","12","0","12","0","12","0","12","129","161","0","12","0","12","0","12","8600000US94922","ZCTA5 94922"
"668","198","662","198","656","197","0","12","6","9","0","12","0","12","0","12","0","12","0","12","0","12","6","11","0","12","0","12","0","12","0","12","0","12","0","12","6","11","6","11","0","12","8600000US94923","ZCTA5 94923"
"1164","282","1080","275","1026","266","54","86","0","12","0","12","0","12","0","12","0","12","0","12","0","12","84","66","62","61","0","12","0","12","9","14","0","12","7","12","6","8","6","8","0","12","8600000US94924","ZCTA5 94924"
"9326","24","8551","429","7148","500","102","128","0","17","1014","341","0","17","44","99","243","128","0","17","243","128","775","432","285","200","0","17","0","17","0","17","0","17","410","370","80","78","57","69","23","37","8600000US94925","ZCTA5 94925"
"42361","213","32149","1106","26563","1103","871","361","220","160","2455","489","156","127","88","121","1796","374","16","19","1780","374","10212","1102","5829","899","242","167","81","60","314","303","39","63","3064","822","643","287","269","133","374","234","8600000US94928","ZCTA5 94928"
"70","46","70","46","61","40","0","12","0","12","9","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8600000US94929","ZCTA5 94929"
"8606","257","8101","318","7579","345","95","86","0","17","209","87","0","17","0","17","218","106","0","17","218","106","505","252","234","123","0","17","12","20","0","17","0","17","188","234","71","53","34","39","37","44","8600000US94930","ZCTA5 94930"
"8646","380","7450","409","6472","489","148","75","0","17","393","195","0","17","0","17","437","185","0","17","437","185","1196","237","721","255","12","19","14","23","0","17","0","17","348","207","101","63","57","54","44","43","8600000US94931","ZCTA5 94931"
"1078","328","905","264","726","208","91","112","0","12","0","12","0","12","0","12","88","88","0","12","88","88","173","220","34","36","0","12","0","12","0","12","0","12","139","216","0","12","0","12","0","12","8600000US94933","ZCTA5 94933"
"1099","339","827","222","790","200","26","42","0","12","11","19","0","12","0","12","0","12","0","12","0","12","272","272","100","115","0","12","0","12","0","12","0","12","172","251","0","12","0","12","0","12","8600000US94937","ZCTA5 94937"
"907","317","733","249","646","241","0","12","0","12","21","33","25","38","0","12","41","48","0","12","41","48","174","163","126","121","9","15","0","12","0","12","0","12","23","27","16","25","16","25","0","12","8600000US94938","ZCTA5 94938"
"6887","281","6699","294","6050","333","103","61","31","48","240","136","93","101","76","81","106","81","0","17","106","81","188","111","173","109","0","17","0","17","0","17","0","17","15","26","0","17","0","17","0","17","8600000US94939","ZCTA5 94939"
"228","104","228","104","213","101","0","12","0","12","0","12","0","12","15","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8600000US94940","ZCTA5 94940"
"30650","727","29022","742","25284","712","463","159","8","15","2275","361","75","49","42","48","875","266","51","60","824","252","1628","369","993","326","0","26","12","21","0","26","25","40","371","248","227","122","109","86","118","100","8600000US94941","ZCTA5 94941"
"18107","1027","14083","790","12268","815","291","152","0","19","1068","420","0","19","15","17","441","160","29","45","412","156","4024","935","1437","708","167","182","0","19","16","21","0","19","2117","758","287","198","75","84","212","181","8600000US94945","ZCTA5 94945"
"669","116","579","98","530","93","2","4","0","12","14","22","0","12","0","12","33","29","0","12","33","29","90","61","86","60","0","12","0","12","0","12","0","12","2","3","2","4","2","4","0","12","8600000US94946","ZCTA5 94946"
"24540","1037","21012","1021","18115","1098","412","252","70","81","1435","363","10","19","137","155","833","281","18","30","815","285","3528","724","1761","563","0","23","80","86","0","23","0","23","1652","591","35","43","22","34","13","26","8600000US94947","ZCTA5 94947"
"16895","802","13298","715","11537","784","308","186","45","44","912","210","0","19","0","19","496","186","0","19","496","186","3597","532","1952","511","39","51","0","19","0","19","0","19","1348","532","258","200","145","110","113","116","8600000US94949","ZCTA5 94949"
"47","41","47","41","47","41","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8600000US94950","ZCTA5 94950"
"4253","629","3604","592","3361","597","19","30","0","12","19","31","0","12","0","12","205","137","0","12","205","137","649","357","251","144","0","12","0","12","24","39","0","12","333","314","41","67","0","12","41","67","8600000US94951","ZCTA5 94951"
"34039","851","27610","890","25338","897","225","139","264","207","986","270","47","67","162","137","588","186","13","22","575","187","6429","783","4050","938","105","83","41","49","0","26","0","26","1971","598","262","152","172","122","90","78","8600000US94952","ZCTA5 94952"
"36785","858","28468","837","24889","839","486","229","178","164","1972","416","46","43","147","107","750","295","55","78","695","277","8317","853","4986","892","0","26","10","15","0","26","0","26","2775","731","546","179","375","161","171","98","8600000US94954","ZCTA5 94954"
"1779","464","1385","308","1225","244","71","82","0","12","22","34","0","12","17","26","50","52","0","12","50","52","394","354","36","42","0","12","0","12","0","12","0","12","358","352","0","12","0","12","0","12","8600000US94956","ZCTA5 94956"
"969","168","931","171","892","174","0","12","0","12","22","40","0","12","0","12","17","16","0","12","17","16","38","30","25","21","0","12","0","12","0","12","0","12","13","19","0","12","0","12","0","12","8600000US94957","ZCTA5 94957"
"15986","430","15115","467","13500","572","156","103","165","172","652","303","25","38","24","27","593","192","17","20","576","189","871","220","618","170","0","19","0","19","27","33","0","19","111","61","115","87","42","50","73","75","8600000US94960","ZCTA5 94960"
"448","164","448","164","448","164","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8600000US94963","ZCTA5 94963"
"4827","570","3522","460","1070","238","1568","266","63","32","195","79","21","17","0","12","605","131","2","4","603","132","1305","189","116","79","0","12","7","12","2","4","10","18","912","153","258","97","206","85","52","44","8600000US94964","ZCTA5 94964"
"10926","372","10045","370","8120","374","1134","260","22","36","496","196","18","24","39","32","216","112","10","16","206","112","881","294","501","188","7","13","0","19","0","19","0","19","176","128","197","200","186","201","11","18","8600000US94965","ZCTA5 94965"
"595","196","572","194","555","189","0","12","0","12","17","25","0","12","0","12","0","12","0","12","0","12","23","43","5","8","0","12","0","12","0","12","0","12","18","42","0","12","0","12","0","12","8600000US94970","ZCTA5 94970"
"357","166","287","153","287","153","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","70","83","49","70","0","12","0","12","0","12","0","12","21","47","0","12","0","12","0","12","8600000US94971","ZCTA5 94971"
"38","53","38","53","38","53","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8600000US94972","ZCTA5 94972"
"1745","367","1646","350","1521","340","85","113","0","12","34","36","0","12","0","12","6","10","0","12","6","10","99","107","99","107","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8600000US94973","ZCTA5 94973"
