"GEO_ID","P005001","P005002","P005003","P005004","P005005","P005006","P005007","P005008","P005009","P005010","P005011","P005012","P005013","P005014","P005015","P005016","P005017","NAME"
"id","Total","Total!!Not Hispanic or Latino","Total!!Not Hispanic or Latino!!White alone","Total!!Not Hispanic or Latino!!Black or African American alone","Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Not Hispanic or Latino!!Asian alone","Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Not Hispanic or Latino!!Some Other Race alone","Total!!Not Hispanic or Latino!!Two or More Races","Total!!Hispanic or Latino","Total!!Hispanic or Latino!!White alone","Total!!Hispanic or Latino!!Black or African American alone","Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Hispanic or Latino!!Asian alone","Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Hispanic or Latino!!Some Other Race alone","Total!!Hispanic or Latino!!Two or More Races","Geographic Area Name"
"8600000US90073","539","484","231","236","2","10","2","0","3","55","26","4","4","0","0","18","3","ZCTA5 90073"
"8600000US90077","9377","8919","7618","138","5","769","2","31","356","458","311","4","3","3","2","100","35","ZCTA5 90077"
"8600000US90079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ZCTA5 90079"
"8600000US90089","3217","2862","1425","135","1","1110","2","5","184","355","193","12","1","10","0","91","48","ZCTA5 90089"
"8600000US90090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ZCTA5 90090"
"8600000US90094","5464","4915","2806","602","7","1204","11","12","273","549","318","19","7","3","2","123","77","ZCTA5 90094"
"8600000US90095","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","ZCTA5 90095"
"8600000US90201","101279","5196","3357","608","207","565","38","166","255","96083","48224","439","830","92","31","42840","3627","ZCTA5 90201"
"8600000US90210","21741","20649","18094","367","7","1245","7","57","872","1092","751","11","12","16","2","220","80","ZCTA5 90210"
"8600000US90211","8434","7893","6214","197","6","1022","1","29","424","541","337","7","7","7","0","130","53","ZCTA5 90211"
"8600000US90212","11555","10874","8881","299","20","1151","4","26","493","681","473","9","3","5","0","118","73","ZCTA5 90212"
"8600000US90220","49328","21608","1052","19198","95","246","416","85","516","27720","10281","423","271","30","19","15518","1178","ZCTA5 90220"
"8600000US90221","53704","13242","526","11719","87","96","377","89","348","40462","15168","310","309","52","16","23045","1562","ZCTA5 90221"
"8600000US90222","31869","10128","228","9526","31","63","54","29","197","21741","9032","201","172","27","8","11562","739","ZCTA5 90222"
"8600000US90230","31766","21441","12197","3189","62","4587","82","176","1148","10325","4978","110","129","74","6","4370","658","ZCTA5 90230"
"8600000US90232","15149","11217","7261","946","22","2263","36","84","605","3932","1940","35","49","31","4","1514","359","ZCTA5 90232"
"8600000US90240","25876","8174","5099","559","44","2166","38","26","242","17702","10212","100","134","74","13","6437","732","ZCTA5 90240"
"8600000US90241","42399","12683","8198","1159","86","2711","67","67","395","29716","16122","198","221","109","8","11751","1307","ZCTA5 90241"
"8600000US90242","43497","11919","6489","2116","82","2607","65","126","434","31578","17135","197","253","137","30","12390","1436","ZCTA5 90242"
"8600000US90245","16654","14045","11515","321","40","1427","30","56","656","2609","1482","16","28","31","8","743","301","ZCTA5 90245"
"8600000US90247","47487","24934","3040","8698","64","11755","325","104","948","22553","8987","237","209","185","34","11692","1209","ZCTA5 90247"
